po_id,sku_id,supplier_id,order_date,quantity,unit_price,lead_time_days,delivery_date
PO-00001,BRG-0018,SUP-006,09-04-2025,790,4969.21,11,20-04-2025
PO-00002,FAS-0005,SUP-014,01-05-2026,267,3185.86,12,13-05-2026
PO-00003,FAS-0013,SUP-011,06-06-2026,979,1732.63,15,21-06-2026
PO-00004,CHE-0018,SUP-007,15-02-2025,680,3105.92,7,22-02-2025
PO-00005,BRG-0003,SUP-001,01-04-2026,701,2903.52,8,09-04-2026
PO-00006,SEA-0017,SUP-015,03-08-2025,1888,4608.9,9,12-08-2025
PO-00007,FAS-0017,SUP-008,08-03-2026,1918,3548.87,13,21-03-2026
PO-00008,CHE-0012,SUP-008,14-07-2025,1554,3751.58,13,27-07-2025
PO-00009,FIL-0001,SUP-013,19-12-2025,842,5004.1,33,21-01-2026
PO-00010,BRG-0011,SUP-015,04-01-2025,654,3636.52,9,13-01-2025
PO-00011,SEA-0006,SUP-003,02-09-2025,206,4036.06,12,14-09-2025
PO-00012,FAS-0012,SUP-014,01-02-2025,1191,3617.55,12,13-02-2025
PO-00013,FAS-0012,SUP-011,22-05-2026,1576,3714.48,15,06-06-2026
PO-00014,BRG-0001,SUP-010,18-09-2025,731,1765.12,6,24-09-2025
PO-00015,FIL-0007,SUP-009,25-04-2026,1268,466.04,8,03-05-2026
PO-00016,FIL-0018,SUP-001,15-02-2025,1555,3634.16,8,23-02-2025
PO-00017,BRG-0016,SUP-006,22-06-2026,1931,1456.95,11,03-07-2026
PO-00018,ELE-0019,SUP-002,10-04-2026,1041,880.62,10,20-04-2026
PO-00019,CON-0001,SUP-013,27-09-2025,335,2661.71,45,11-11-2025
PO-00020,ELE-0003,SUP-004,07-04-2026,1846,575.86,14,21-04-2026
PO-00021,RAW-0018,SUP-006,08-03-2026,1917,2261.11,11,19-03-2026
PO-00022,RAW-0015,SUP-010,27-02-2025,919,2959.87,6,05-03-2025
PO-00023,BRG-0001,SUP-001,02-01-2025,1082,2035.92,8,10-01-2025
PO-00024,SEA-0012,SUP-013,17-12-2025,346,53.85,47,02-02-2026
PO-00025,CHE-0001,SUP-011,11-10-2025,271,2304.67,15,26-10-2025
PO-00026,BRG-0006,SUP-010,19-02-2026,725,1359.26,6,25-02-2026
PO-00027,RAW-0010,SUP-008,19-04-2026,685,3584.44,13,02-05-2026
PO-00028,CHE-0002,SUP-010,23-05-2026,994,2742.49,6,29-05-2026
PO-00029,FAS-0009,SUP-015,05-06-2026,1045,4388.71,9,14-06-2026
PO-00030,CON-0002,SUP-008,09-04-2026,677,1633.1,13,22-04-2026
PO-00031,FIL-0014,SUP-009,21-08-2025,574,1717.84,8,29-08-2025
PO-00032,ELE-0008,SUP-015,23-07-2025,1153,2197.42,9,01-08-2025
PO-00033,RAW-0015,SUP-001,08-04-2025,648,3073.11,8,16-04-2025
PO-00034,FAS-0019,SUP-012,04-06-2026,1396,4314.31,10,14-06-2026
PO-00035,CHE-0002,SUP-007,02-05-2025,130,3024.8,7,09-05-2025
PO-00036,FIL-0015,SUP-007,12-01-2025,1476,1379.14,7,19-01-2025
PO-00037,BRG-0005,SUP-004,25-01-2026,1104,3295.16,14,08-02-2026
PO-00038,FAS-0009,SUP-015,24-01-2025,1486,5053.88,9,02-02-2025
PO-00039,SEA-0016,SUP-009,11-07-2025,1587,3706.47,8,19-07-2025
PO-00040,SEA-0001,SUP-007,09-04-2025,1026,2977.72,7,16-04-2025
PO-00041,ELE-0005,SUP-005,11-05-2026,938,3819.84,9,20-05-2026
PO-00042,RAW-0003,SUP-009,10-05-2026,1659,4907.39,8,18-05-2026
PO-00043,FIL-0018,SUP-010,06-04-2026,692,4151.9,6,12-04-2026
PO-00044,CON-0020,SUP-007,28-11-2025,1477,1589.17,7,05-12-2025
PO-00045,CON-0018,SUP-001,04-04-2025,382,3178.59,8,12-04-2025
PO-00046,SEA-0010,SUP-008,20-07-2025,275,2097.8,13,02-08-2025
PO-00047,BRG-0019,SUP-013,15-01-2026,1559,4079.79,34,18-02-2026
PO-00048,SEA-0010,SUP-006,03-06-2026,1854,2070.82,11,14-06-2026
PO-00049,RAW-0004,SUP-009,05-02-2025,347,4503.38,8,13-02-2025
PO-00050,FIL-0013,SUP-005,18-02-2026,659,870.64,9,27-02-2026
PO-00051,ELE-0017,SUP-005,18-09-2025,1369,472.86,9,27-09-2025
PO-00052,RAW-0011,SUP-011,29-01-2026,1770,1090.9,15,13-02-2026
PO-00053,RAW-0007,SUP-001,08-04-2025,1360,4219.35,8,16-04-2025
PO-00054,RAW-0020,SUP-011,25-02-2025,1237,3800.27,15,12-03-2025
PO-00055,BRG-0013,SUP-014,07-01-2026,1309,2951.17,12,19-01-2026
PO-00056,FAS-0020,SUP-012,13-11-2025,1209,4052.94,10,23-11-2025
PO-00057,FIL-0009,SUP-006,20-03-2026,1069,4103.29,11,31-03-2026
PO-00058,RAW-0019,SUP-008,28-09-2025,1073,4006.04,13,11-10-2025
PO-00059,SEA-0013,SUP-005,25-04-2025,1895,2544.37,9,04-05-2025
PO-00060,CON-0013,SUP-005,27-04-2025,1937,851.72,9,06-05-2025
PO-00061,BRG-0011,SUP-002,16-06-2026,1618,3099.22,10,26-06-2026
PO-00062,FAS-0007,SUP-003,08-10-2025,900,3213.28,12,20-10-2025
PO-00063,BRG-0006,SUP-008,01-04-2025,1017,1478.11,13,14-04-2025
PO-00064,RAW-0018,SUP-012,17-09-2025,945,2416,10,27-09-2025
PO-00065,FAS-0020,SUP-002,07-11-2025,499,4164.09,10,17-11-2025
PO-00066,RAW-0009,SUP-003,26-05-2025,1994,4776.79,12,07-06-2025
PO-00067,CON-0018,SUP-005,19-06-2025,558,3460.03,9,28-06-2025
PO-00068,FIL-0009,SUP-009,02-04-2025,308,4637.67,8,10-04-2025
PO-00069,BRG-0016,SUP-015,05-03-2026,1932,1336.38,9,14-03-2026
PO-00070,FAS-0005,SUP-007,16-05-2025,734,2962.18,7,23-05-2025
PO-00071,ELE-0004,SUP-002,17-05-2026,762,2689.47,10,27-05-2026
PO-00072,ELE-0004,SUP-009,24-03-2026,1367,2871.45,8,01-04-2026
PO-00073,ELE-0018,SUP-012,08-03-2026,1124,819.27,10,18-03-2026
PO-00074,BRG-0006,SUP-011,22-01-2025,1674,1466.42,15,06-02-2025
PO-00075,SEA-0010,SUP-004,21-03-2025,1609,2237.26,14,04-04-2025
PO-00076,SEA-0015,SUP-004,22-02-2026,740,1917.03,14,08-03-2026
PO-00077,BRG-0005,SUP-009,07-07-2025,742,3341.01,8,15-07-2025
PO-00078,RAW-0020,SUP-010,29-01-2025,961,4522.42,6,04-02-2025
PO-00079,ELE-0015,SUP-005,18-08-2025,1462,5118.35,9,27-08-2025
PO-00080,SEA-0005,SUP-001,23-04-2026,859,2172.2,8,01-05-2026
PO-00081,ELE-0011,SUP-010,08-12-2025,1701,1389.13,6,14-12-2025
PO-00082,RAW-0005,SUP-004,05-09-2025,1471,1951.71,14,19-09-2025
PO-00083,RAW-0015,SUP-014,22-02-2026,971,2829.43,12,06-03-2026
PO-00084,CHE-0006,SUP-007,20-06-2026,1680,415.47,7,27-06-2026
PO-00085,BRG-0004,SUP-004,26-04-2025,412,3743.46,14,10-05-2025
PO-00086,SEA-0018,SUP-015,27-08-2025,946,4869.02,9,05-09-2025
